frame,view,aa,requested_aa,screen_percentage,temporal_upsampling,dynamic_res,gi,reflections,vsm,nanite,ray_tracing,tsr_supported,external_upscaler,width,height,feature_sm6,nanite_supported,nanite_enabled,vsm_enabled,lumen_supported
272,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
272,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
272,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
272,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
273,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
274,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
275,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
276,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
277,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
278,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
279,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
280,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
281,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
282,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
283,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
284,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
285,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
286,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
287,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
