frame,wall_seconds,wall_delta_ms,sim_delta_ms,stage,phase,cycle,game_ms,render_ms,rhi_ms,gpu_ms,game_wait_ms,render_wait_ms,swap_ms,pawn_count,autonomous_pawns,player_x,player_y,player_z,view_yaw,health,ammo,pressure,active_audio,active_vfx
620,2.937209466,21.423696,20.887133,warmup,active,2,2.389000,23.077999,2.558000,8.373000,18.539000,0.434000,0.019000,4,3,159.547057,40.572429,228.125000,10.687621,100.000000,60,0.000000,0,1
621,2.958280194,21.070728,21.397776,warmup,active,2,2.164000,21.010000,2.827000,8.379000,19.052999,0.714000,0.022000,4,3,166.615690,43.099202,228.125000,10.938267,100.000000,60,0.000000,0,1
622,2.981293653,23.013459,21.098628,warmup,active,2,2.062000,19.798000,1.702000,8.624000,18.941999,0.685000,0.022000,4,3,173.530776,45.768686,228.125000,11.195040,100.000000,60,0.000000,0,1
623,3.009569434,28.275781,22.981249,warmup,active,2,2.126000,24.829000,2.936000,8.797000,20.930000,0.689000,0.170000,4,3,181.002140,48.859433,228.125000,11.448224,100.000000,60,0.000000,0,1
624,3.035046876,25.477442,28.287861,warmup,active,2,2.031000,26.743999,3.041000,8.860000,26.194000,0.555000,0.023000,4,3,190.113733,52.901343,228.125000,11.723999,100.000000,60,0.000000,0,1
625,3.057281168,22.234292,25.461652,warmup,active,2,2.152000,22.542999,3.106000,8.804000,23.441000,0.691000,0.017000,4,3,198.257951,56.705410,228.125000,12.063453,100.000000,60,0.000000,0,0
626,3.080827139,23.545971,22.380795,warmup,active,2,3.153000,21.268000,2.805000,8.744000,19.937000,0.616000,0.019000,4,3,205.376007,60.165460,228.125000,12.368993,100.000000,60,0.000000,0,0
627,3.107912004,27.084865,23.589042,warmup,active,2,3.632000,24.125999,8.065000,8.678000,19.854000,1.522000,0.017000,4,3,212.833731,63.930958,228.125000,12.637563,100.000000,60,0.000000,0,0
628,3.130804911,22.892907,27.039855,warmup,active,2,3.616000,25.136999,2.588000,8.418000,23.424000,2.540000,0.020000,4,3,221.326032,68.387881,228.125000,12.920631,100.000000,60,0.000000,0,0
629,3.153873932,23.069021,22.955038,warmup,active,2,3.599000,19.191000,2.588000,8.742000,19.323000,1.303000,0.047000,4,3,228.500531,72.265921,228.125000,13.245109,100.000000,60,0.000000,0,0
630,3.176207757,22.333825,23.104331,warmup,active,2,4.090000,21.554001,2.361000,8.716000,19.410000,1.112000,0.014000,4,3,235.685017,76.259576,228.125000,13.520570,100.000000,60,0.000000,0,0
631,3.198368688,22.160931,22.302714,warmup,active,2,4.789000,20.847000,2.304000,8.613000,17.993999,0.928000,0.016000,4,3,242.587744,80.194912,228.125000,13.797822,100.000000,60,0.000000,0,0
632,3.221061850,22.693162,22.165611,warmup,active,2,4.149000,21.527000,2.160000,8.751000,17.471001,0.536000,0.018000,4,3,249.416180,84.181629,228.125000,14.065454,100.000000,60,0.000000,0,0
633,3.243472687,22.410837,22.664022,warmup,active,2,4.334000,21.639000,1.808000,8.669000,18.570000,1.538000,0.016000,4,3,256.365056,88.332960,228.125000,14.331442,100.000000,60,0.000000,0,0
634,3.265134748,21.662061,22.419817,warmup,active,2,4.084000,21.052999,1.403000,8.623000,17.978001,0.953000,0.012000,4,3,263.207843,92.510184,228.125000,14.603410,100.000000,60,0.000000,0,0
635,3.286493752,21.359004,21.684621,warmup,active,2,3.895000,20.423000,1.521000,8.653000,17.747999,1.012000,0.015000,4,3,269.797287,96.614008,228.125000,14.872448,100.000000,60,0.000000,0,0
