render_tick,elapsed_seconds
1170,21.953564504
1171,21.970565899
1172,21.988707030
1173,22.005587412
1174,22.022535976
1175,22.041600798
1176,22.061029577
1177,22.079597918
1178,22.096645174
1179,22.114592011
1180,22.132582318
1181,22.149589664
1182,22.165600116
1183,22.182108909
1184,22.199573726
1185,22.217578283
1186,22.234765022
1187,22.251613084
1188,22.270823849
1189,22.286799701
1190,22.304729687
1191,22.320716169
1192,22.339993845
1193,22.355815844
1194,22.372021850
1195,22.389598119
1196,22.407557426
1197,22.424969600
1198,22.441513725
1199,22.458509120
1200,22.478174454
1201,22.493713177
1202,22.510793043
1203,22.526576621
1204,22.544859905
1205,22.561544873
1206,22.579602512
1207,22.595549103
1208,22.612751272
1209,22.629542903
1210,22.645885942
1211,22.664826661
1212,22.682741157
1213,22.698879652
1214,22.715939459
1215,22.733839904
1216,22.751686998
1217,22.771436815
1218,22.787459348
1219,22.803662965
1220,22.821625412
1221,22.840774756
1222,22.857634028
1223,22.876139826
1224,22.892601869
1225,22.909608825
1226,22.928646586
1227,22.944845372
1228,22.962936432
1229,22.982162187
1230,22.999957420
1231,23.015825060
1232,23.033722455
1233,23.051636660
1234,23.072067703
1235,23.089750324
1236,23.105861428
1237,23.123815235
1238,23.141121227
1239,23.158672964
1240,23.176770354
1241,23.193710248
1242,23.210600500
1243,23.227825950
1244,23.245771697
1245,23.263585489
1246,23.281945676
1247,23.298716095
1248,23.315724280
1249,23.332832828
1250,23.349965556
1251,23.366665504
1252,23.384622360
1253,23.401825621
1254,23.420709177
1255,23.437630341
1256,23.456573230
1257,23.476169894
1258,23.493667659
1259,23.511638196
1260,23.527936186
1261,23.545609326
1262,23.562883158
1263,23.582121543
1264,23.598807820
1265,23.615858646
1266,23.633585548
1267,23.652758102
1268,23.671898716
1269,23.688963182
1270,23.706899919
1271,23.723839481
1272,23.740830096
1273,23.758865674
1274,23.775576373
1275,23.793765565
1276,23.812585191
1277,23.831016749
1278,23.847599544
1279,23.866771128
1280,23.883985998
1281,23.899562991
1282,23.917861145
1283,23.935736559
1284,23.953571153
1285,23.971501149
